Loaded processed data from: /pool1/home/ysxin/E3nnVB/VB/processed/train_data.pt
Using device: cuda
CUDA device: NVIDIA GeForce RTX 4080
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
C4H6 tensor([0])
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Epoch 076 | Loss(MSE)=0.007382 | MAE=0.036574 | RMSE=0.085918 | LR=9.96e-04
Epoch 077 | Loss(MSE)=0.007383 | MAE=0.036314 | RMSE=0.085925 | LR=9.96e-04
Epoch 078 | Loss(MSE)=0.007400 | MAE=0.036479 | RMSE=0.086021 | LR=9.96e-04
Epoch 079 | Loss(MSE)=0.007382 | MAE=0.036545 | RMSE=0.085920 | LR=9.96e-04
Epoch 080 | Loss(MSE)=0.007394 | MAE=0.036471 | RMSE=0.085991 | LR=9.96e-04
Epoch 081 | Loss(MSE)=0.007380 | MAE=0.036487 | RMSE=0.085905 | LR=9.96e-04
Epoch 082 | Loss(MSE)=0.007395 | MAE=0.036573 | RMSE=0.085996 | LR=9.96e-04
Epoch 083 | Loss(MSE)=0.007373 | MAE=0.036372 | RMSE=0.085866 | LR=9.96e-04
Epoch 084 | Loss(MSE)=0.007406 | MAE=0.036522 | RMSE=0.086057 | LR=9.96e-04
Epoch 085 | Loss(MSE)=0.007379 | MAE=0.036451 | RMSE=0.085902 | LR=9.96e-04
Epoch 086 | Loss(MSE)=0.007375 | MAE=0.036641 | RMSE=0.085880 | LR=9.95e-04
Epoch 087 | Loss(MSE)=0.007389 | MAE=0.036422 | RMSE=0.085957 | LR=9.95e-04
Epoch 088 | Loss(MSE)=0.007372 | MAE=0.036434 | RMSE=0.085863 | LR=9.95e-04
Epoch 089 | Loss(MSE)=0.007391 | MAE=0.036434 | RMSE=0.085970 | LR=9.95e-04
Epoch 090 | Loss(MSE)=0.007385 | MAE=0.036479 | RMSE=0.085938 | LR=9.95e-04
Epoch 091 | Loss(MSE)=0.007383 | MAE=0.036494 | RMSE=0.085927 | LR=9.95e-04
Epoch 092 | Loss(MSE)=0.007360 | MAE=0.036331 | RMSE=0.085791 | LR=9.95e-04
Epoch 093 | Loss(MSE)=0.007384 | MAE=0.036380 | RMSE=0.085928 | LR=9.95e-04
Epoch 094 | Loss(MSE)=0.007388 | MAE=0.036589 | RMSE=0.085953 | LR=9.95e-04
Epoch 095 | Loss(MSE)=0.007374 | MAE=0.036470 | RMSE=0.085871 | LR=9.94e-04
Epoch 096 | Loss(MSE)=0.007387 | MAE=0.036393 | RMSE=0.085947 | LR=9.94e-04
Epoch 097 | Loss(MSE)=0.007378 | MAE=0.036372 | RMSE=0.085894 | LR=9.94e-04
Epoch 098 | Loss(MSE)=0.007378 | MAE=0.036560 | RMSE=0.085897 | LR=9.94e-04
Epoch 099 | Loss(MSE)=0.007374 | MAE=0.036454 | RMSE=0.085870 | LR=9.94e-04
Epoch 100 | Loss(MSE)=0.007379 | MAE=0.036308 | RMSE=0.085903 | LR=9.94e-04
Epoch 101 | Loss(MSE)=0.007401 | MAE=0.036595 | RMSE=0.086030 | LR=9.94e-04
Epoch 102 | Loss(MSE)=0.007381 | MAE=0.036562 | RMSE=0.085914 | LR=9.94e-04
Epoch 103 | Loss(MSE)=0.007385 | MAE=0.036542 | RMSE=0.085934 | LR=9.93e-04
Epoch 104 | Loss(MSE)=0.007397 | MAE=0.036456 | RMSE=0.086003 | LR=9.93e-04
Epoch 105 | Loss(MSE)=0.007386 | MAE=0.036444 | RMSE=0.085941 | LR=9.93e-04
Epoch 106 | Loss(MSE)=0.007385 | MAE=0.036377 | RMSE=0.085938 | LR=9.93e-04
Epoch 107 | Loss(MSE)=0.007378 | MAE=0.036487 | RMSE=0.085898 | LR=9.93e-04
Epoch 108 | Loss(MSE)=0.007381 | MAE=0.036397 | RMSE=0.085915 | LR=9.93e-04
Epoch 109 | Loss(MSE)=0.007379 | MAE=0.036521 | RMSE=0.085901 | LR=9.93e-04
Epoch 110 | Loss(MSE)=0.007394 | MAE=0.036434 | RMSE=0.085986 | LR=9.93e-04
Epoch 111 | Loss(MSE)=0.007389 | MAE=0.036626 | RMSE=0.085958 | LR=9.92e-04
Epoch 112 | Loss(MSE)=0.007381 | MAE=0.036368 | RMSE=0.085913 | LR=9.92e-04
Epoch 113 | Loss(MSE)=0.007393 | MAE=0.036614 | RMSE=0.085980 | LR=9.92e-04
Epoch 114 | Loss(MSE)=0.007392 | MAE=0.036409 | RMSE=0.085975 | LR=9.92e-04
Epoch 115 | Loss(MSE)=0.007390 | MAE=0.036547 | RMSE=0.085965 | LR=9.92e-04
Epoch 116 | Loss(MSE)=0.007384 | MAE=0.036531 | RMSE=0.085932 | LR=9.92e-04
Epoch 117 | Loss(MSE)=0.007385 | MAE=0.036492 | RMSE=0.085938 | LR=9.92e-04
Epoch 118 | Loss(MSE)=0.007376 | MAE=0.036449 | RMSE=0.085881 | LR=9.91e-04
Epoch 119 | Loss(MSE)=0.007391 | MAE=0.036436 | RMSE=0.085972 | LR=9.91e-04
Epoch 120 | Loss(MSE)=0.007387 | MAE=0.036532 | RMSE=0.085948 | LR=9.91e-04
Epoch 121 | Loss(MSE)=0.007385 | MAE=0.036463 | RMSE=0.085936 | LR=9.91e-04
Epoch 122 | Loss(MSE)=0.007387 | MAE=0.036471 | RMSE=0.085947 | LR=9.91e-04
Epoch 123 | Loss(MSE)=0.007382 | MAE=0.036405 | RMSE=0.085921 | LR=9.91e-04
Epoch 124 | Loss(MSE)=0.007376 | MAE=0.036496 | RMSE=0.085881 | LR=9.91e-04
Epoch 125 | Loss(MSE)=0.007396 | MAE=0.036471 | RMSE=0.085997 | LR=9.90e-04
Epoch 126 | Loss(MSE)=0.007379 | MAE=0.036467 | RMSE=0.085903 | LR=9.90e-04
Epoch 127 | Loss(MSE)=0.007371 | MAE=0.036304 | RMSE=0.085853 | LR=9.90e-04
Epoch 128 | Loss(MSE)=0.007383 | MAE=0.036438 | RMSE=0.085924 | LR=9.90e-04
Epoch 129 | Loss(MSE)=0.007374 | MAE=0.036460 | RMSE=0.085874 | LR=9.90e-04
Epoch 130 | Loss(MSE)=0.007378 | MAE=0.036350 | RMSE=0.085894 | LR=9.90e-04
Epoch 131 | Loss(MSE)=0.007367 | MAE=0.036399 | RMSE=0.085833 | LR=9.89e-04
Epoch 132 | Loss(MSE)=0.007390 | MAE=0.036494 | RMSE=0.085965 | LR=9.89e-04
Epoch 133 | Loss(MSE)=0.007380 | MAE=0.036414 | RMSE=0.085910 | LR=9.89e-04
Epoch 134 | Loss(MSE)=0.007387 | MAE=0.036452 | RMSE=0.085947 | LR=9.89e-04
Epoch 135 | Loss(MSE)=0.007386 | MAE=0.036488 | RMSE=0.085943 | LR=9.89e-04
Epoch 136 | Loss(MSE)=0.007379 | MAE=0.036607 | RMSE=0.085900 | LR=9.89e-04
Epoch 137 | Loss(MSE)=0.007372 | MAE=0.036347 | RMSE=0.085858 | LR=9.88e-04
Epoch 138 | Loss(MSE)=0.007390 | MAE=0.036571 | RMSE=0.085967 | LR=9.88e-04
Epoch 139 | Loss(MSE)=0.007398 | MAE=0.036439 | RMSE=0.086011 | LR=9.88e-04
Epoch 140 | Loss(MSE)=0.007388 | MAE=0.036532 | RMSE=0.085953 | LR=9.88e-04
Epoch 141 | Loss(MSE)=0.007382 | MAE=0.036456 | RMSE=0.085920 | LR=9.88e-04
Epoch 142 | Loss(MSE)=0.007394 | MAE=0.036431 | RMSE=0.085987 | LR=9.88e-04
Epoch 143 | Loss(MSE)=0.007395 | MAE=0.036654 | RMSE=0.085994 | LR=9.87e-04
Epoch 144 | Loss(MSE)=0.007386 | MAE=0.036483 | RMSE=0.085941 | LR=9.87e-04
Epoch 145 | Loss(MSE)=0.007389 | MAE=0.036498 | RMSE=0.085960 | LR=9.87e-04
Epoch 146 | Loss(MSE)=0.007379 | MAE=0.036394 | RMSE=0.085903 | LR=9.87e-04
Epoch 147 | Loss(MSE)=0.007393 | MAE=0.036462 | RMSE=0.085982 | LR=9.87e-04
Epoch 148 | Loss(MSE)=0.007397 | MAE=0.036536 | RMSE=0.086005 | LR=9.87e-04
Epoch 149 | Loss(MSE)=0.007391 | MAE=0.036437 | RMSE=0.085968 | LR=9.86e-04
Epoch 150 | Loss(MSE)=0.007383 | MAE=0.036512 | RMSE=0.085922 | LR=9.86e-04
Epoch 151 | Loss(MSE)=0.007394 | MAE=0.036507 | RMSE=0.085986 | LR=9.86e-04
Epoch 152 | Loss(MSE)=0.007386 | MAE=0.036520 | RMSE=0.085941 | LR=9.86e-04
Epoch 153 | Loss(MSE)=0.007383 | MAE=0.036473 | RMSE=0.085924 | LR=9.86e-04
Epoch 154 | Loss(MSE)=0.007383 | MAE=0.036467 | RMSE=0.085925 | LR=9.85e-04
Epoch 155 | Loss(MSE)=0.007377 | MAE=0.036429 | RMSE=0.085889 | LR=9.85e-04
Epoch 156 | Loss(MSE)=0.007378 | MAE=0.036431 | RMSE=0.085896 | LR=9.85e-04
Epoch 157 | Loss(MSE)=0.007380 | MAE=0.036422 | RMSE=0.085909 | LR=9.85e-04
Epoch 158 | Loss(MSE)=0.007382 | MAE=0.036804 | RMSE=0.085917 | LR=9.85e-04
Epoch 159 | Loss(MSE)=0.007391 | MAE=0.036578 | RMSE=0.085970 | LR=9.85e-04
Epoch 160 | Loss(MSE)=0.007374 | MAE=0.036592 | RMSE=0.085871 | LR=9.84e-04
Epoch 161 | Loss(MSE)=0.007383 | MAE=0.036477 | RMSE=0.085927 | LR=9.84e-04
Epoch 162 | Loss(MSE)=0.007384 | MAE=0.036428 | RMSE=0.085930 | LR=9.84e-04
